Name / Purpose,Game,Rating,"<img src=""http://s5.postimg.org/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""http://s5.postimg.org/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""TFConfig"" desc=""Makes your life a little easier when setting up bindings for TFC."" /]",[TFC /],[kkratings id =321600],"[prev img=""http://s5.postimg.org/uj5v3a007/tfconfig.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!kdgxkQ6C!IJ0NW8sXjCUqqihFNrKNfQ"" /]"
"[title_desc name=""Portal 2 Map Launcher"" desc=""A simple but effective GUI for loading custom and stock portal 2 maps."" /]",[PRTL2 /],[kkratings id =321601],"[prev img=""http://s5.postimg.org/foh9p3qfb/portal_map_launcher.png"" /]",[source],"[mega id=""https://mega.nz/#F!9IIlgAYb!vc1Sew-h2hBQW40atFiHQw"" /]"
"[title_desc name=""Portal to Portal 2 Content Porter"" desc=""Greatly eases the process of porting content from Portal 1 to Portal 2."" /]",[PRTL2 /],[kkratings id =321602],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gQAw0A5T!hhwL_ryrQgnJ1dhKN57-5w"" /]"
"[title_desc name=""Barebones"" desc=""Barebones sets up the necessary files to create a basic mod ."" /]",[DOTA2 /],[kkratings id =321603],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!JcR0gSgT!rMx-paF6qePa9AVYERbHDA"" /]"
"[title_desc name=""D2 Modkit"" desc=""The Dota 2 Modkit provides tools to make your life easier when working with Dota 2 Files for modding."" /]",[DOTA2 /],[kkratings id =321604],"[prev img=""http://s5.postimg.org/4rp4rtifb/dota2modkit.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!VNQiyCLA!bIk90gZ8OYy_i4-VxcbOIQ"" /]"
"[title_desc name=""Dota API snippets for Sublime Text 2/3"" desc=""Adds Code snippets for the LUA api if you work with Sublime Text"" /]",[DOTA2 /],[kkratings id =321605],"[prev img=""http://s5.postimg.org/3rytw439j/plug_in_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!1EQSTaiJ!Tfv5gUjaxyhTR-3VATWW_Q"" /]"
"[title_desc name=""Dota Custom Files Joiner"" desc=""Clever tool to help organize your custom file creation to avoid a mess."" /]",[DOTA2 /],[kkratings id =321606],"[prev img=""http://s5.postimg.org/ficrdhw1z/dota_custom_files_joiner.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!tVIFjIKY!hWwh_eW57k06yiHGBI1XmA"" /]"
"[title_desc name=""Dota2 Builder helper library"" desc=""A library to help make RTS-style and Tower Defense custom games in Dota 2"" /]",[DOTA2 /],[kkratings id =321607],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!wcAkyQZI!fpeOg5HcT1uaHNPnRekUAg""  /]"
"[title_desc name=""Emacs major mode for editing KeyValue files"" desc=""An Emacs major mode for editing files written in the KeyValues format that is used in Valve's Source engine. "" /]",[DOTA2 /],[kkratings id =321608],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gJwGhbqD!AuGhqoyIVo1AzX8sCwUAFQ"" /]"
"[title_desc name=""KV Files Builder"" desc=""splitS the Dota 2 KV files into smaller files to make them easier to read / manage."" /]",[DOTA2 /],[kkratings id =321609],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!pIBiXJ4J!86XaRvNiC1ncBwVtJmAasw"" /]"
"[title_desc name=""KV Syntax highlighting and snippets for Sublime Text 2-3"" desc=""Valve's KV Syntax, Snippets, and plugins for Dota 2 Workshop's custom gamemode developers."" /]",[DOTA2 /],[kkratings id =321610],"[prev img=""http://s5.postimg.org/3rytw439j/plug_in_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!MAIikJCL!mG_YUQlp79RSpJfoIAUqPQ""  /]"
"[title_desc name=""KVLib A C# Key-Value parser and library"" desc=""Key Value Parsing library in C#"" /]",[DOTA2 /],[kkratings id =321611],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!kZ4CmaBD!spXkTMIMeNGzOIPyLpjxFQ"" /]"
"[title_desc name=""Lua API stub classes"" desc=""Publicly available snippets for Dota 2 Workshop Tools"" /]",[DOTA2 /],[kkratings id =321612],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gZI2SAbR!0cLg9p7Us95qk_vbt8nodg""  /]"
"[title_desc name=""Source 2 Resource Decompiler"" desc=""Decompiles the various _c formats into the content assets, can be used to decompile dota assets."" /]",[DOTA2 /],[kkratings id =321613],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!IZAHmBBR!kUttZa8ikPT6f7Sgg5tPdg"" /]"
"[title_desc name=""Upgradeable Items KV Builder"" desc=""This script can be used to generate all the item levels and recipes for your items"" /]",[DOTA2 /],[kkratings id =321614],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!xJRR1Soa!Hhm4suNh-o4_uNh26wzyKQ"" /]"
"[title_desc name=""Dota2 Sound Editor"" desc=""The Dota 2 Sound Editor allows you to modify sounds for items, voices, music and hero spells."" /]",[DOTA2 /],[kkratings id =321615],"[prev img=""http://s5.postimg.org/4nzwpb2br/dota_2_sound_editor.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!FNBn0boY!ZQfy-HsoPY17azTFee5QLQ"" /]"
"[title_desc name=""KVUP"" desc=""Warcraft 3 -&gt; Dota 2 KV Parser"" /]",[DOTA2 /],[kkratings id =321616],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!BNoDHSpD!jA4P5RATxWya0bf2ALagFA""  /]"
"[title_desc name=""ModDota Lib"" desc=""A Flash library for Dota 2 custom gamemodes"" /]",[DOTA2 /],[kkratings id =321617],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!5B5RjapS!HVLXbJFW5yc9XWsQoViboQ"" /]"
"[title_desc name=""Player Say"" desc=""A scaleform UI file for latching and allowing Lua to work with player chat."" /]",[DOTA2 /],[kkratings id =321618],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!QQhjDYYL!dnrGyZrmSxKQKEJQ9OdDIg"" /]"
"[title_desc name=""VConsole 2 Lib"" desc=""A PoC library for working with the VConsole2 network protocol."" /]",[DOTA2 /],[kkratings id =321619],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!5dZzjAYK!JzNNgZ2CT8UW6x0ohcREVQ"" /]"
"[title_desc name=""WorldSmith"" desc=""Open source Dota 2 Mod Editor"" /]",[DOTA2 /],[kkratings id =321620],"[prev img=""http://s5.postimg.org/fh7extjlz/2n_Tj7_C0.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!wRpRGa7a!wDwWtwtkPAk6D_m-RRt1EA"" /]"
"[title_desc name=""Left 4 Dead 2 Map Generator"" desc=""Abandoned proof of concept algorithm for creating L4D2 maps from random tiles"" /]",[DOTA2 /],[kkratings id =321621],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source],"[mega id=""https://mega.nz/#F!pEJxzSYD!ym26NwkTr_bvFdf5gqaRBg"" /]"
"[title_desc name=""SignMaker"" desc=""Easy to use tool for the creation of portal style signs for test chambers"" /]",[PRTL2 /],[kkratings id =321622],"[prev img=""http://s5.postimg.org/8md00p2pz/signmaker.png"" /]",[source],"[mega id=""https://mega.nz/#F!QFYjjCDY!wexw0N6qruYhVWIRwEmvAQ"" /]"
"[title_desc name=""TF2 Mod Installer"" desc=""Simple program used to install .vpk files into the TF2 custom content directory easily."" /]",[TF2 /],[kkratings id =321623],"[prev img=""http://s5.postimg.org/o5uzphvif/566478807101d.jpg"" /]",[source],"[mega id=""https://mega.nz/#F!sYRGlbgQ!eZYLVhGF7iWaK-GFN4reMg"" /]"
"[title_desc name=""Lyrics to CFG"" desc=""When you run the program it will take whatever is in the lyrics.txt and turn into a cfg you can run in game. "" /]",[TF2 /],[kkratings id =321624],"[prev img=""http://s5.postimg.org/e9twpupqf/56a0fd652772a.jpg"" /]",[source],"[mega id=""https://mega.nz/#F!ZZZHlaBa!cCSHKSN00vj2XvdMmQNifQ"" /]"
"[title_desc name=""RCBOT FOR SVENCOOP 4.7"" desc=""This the RCBOTS need for play with the SA13 pack if you running the last version of SVENCOOP"" /]","<a href=""http://www.svencoop.com/"" target=""_blank"">Sven Co-op</a>",[kkratings id =321625],"[prev img=""http://s5.postimg.org/clurb7buv/511126d8d5ecd.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!0AhzRLpT!laOZIs00QhsQy_FfqtBqiA"" /]"
"[title_desc name=""ENABLE VIOLENCE CFG"" desc=""Enable Half Life 1 gore and blood, pretty much simple."" /]",[HL /],[kkratings id =321626],"[prev img=""http://s5.postimg.org/peivb4ngn/2701.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!EdBlRTRR!8h13dY45Aq7Y9sCd2MD1kA"" /]"
"[title_desc name=""Background Maker"" desc=""Put pic file in tool and make own background for TFC,HL,CS"" /]",[TFC /],[kkratings id =321627],"[prev img=""http://s5.postimg.org/71ia0kczr/4400a.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!ocxCGCQA!q27DUw5prxJeG4ytpSiAfQ"" /]"
"[title_desc name=""FoxBot 7z for TFC"" desc=""FoxBot 7z for TFC"" /]",[TFC /],[kkratings id =321628],"[prev img=""http://s5.postimg.org/cbn8rux8n/image.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!AQ5T2Z4J!cXAZdmnSN_f6NguRghd37Q"" /]"
"[title_desc name=""Deleted Scenes .fgd"" desc=""This is the file you will need to create maps for Condition Zero: Deleted Scenes. This tool was available at Urban Ruins But the site has shut down."" /]",[CSCZ /],[kkratings id =321629],"[prev img=""http://s5.postimg.org/o3b42nruv/4ff0db4264efa.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!NMYWRAia!0DCaxc6tLJHFLHYqlnNC4g"" /]"
"[title_desc name=""cs:cz tweaker"" desc=""changes everything in your game including bot profiles of missions,bot profiles of multiplayer game,new mission packs , some things like grenades related challenges in original missions are removed."" /]",[CSCZ /],[kkratings id =321630],"[prev img=""http://s5.postimg.org/5cds68mo7/4951a.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!IcI0ALQK!KlMLBhoNjgw0HIetPvtmLQ"" /]"
"[title_desc name=""t missionpack v 3.0"" desc=""this is a mission pack for condition zero. to use xtract it to ur mission packs folder."" /]",[CSCZ /],[kkratings id =321631],"[prev img=""http://s5.postimg.org/p89rls3pj/5121adccdd771.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!EAxUgarC!_pDE7tgeBOyNaF27zayV7g"" /]"
"[title_desc name=""Fgd for CS Condidtion Zero"" desc=""Fgd file for making maps for CS Condidtion Zero."" /]",[CSCZ /],[kkratings id =321632],"[prev img=""http://s5.postimg.org/j8m0i4ix3/4523a.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!cEowkQab!GQ_DAmXurKx9ki6mSgAcwg"" /]"
"[title_desc name=""CZ Bind Maker"" desc=""CZ Bind Maker is a custom buy script and configuration editor for Counter-Strike 1.6 and Condition Zero. It provides point and click, buy scripting and configuration editing capabilities"" /]",[CSCZ /],[kkratings id =321633],"[prev img=""http://s5.postimg.org/5syzsoafb/18a.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FYggyZAD!yDXfhqHuaywN8D7oMvfMeg"" /]"
"[title_desc name=""Fix Death Model Animation Tools"" desc=""Fix Death Model Animation Tools"" /]",[CSCZ /],[kkratings id =321634],"[prev img=""http://s5.postimg.org/bv6mj5yvb/53696a15c8243.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FdhgzToR!iNPhZzWeJJ_8qS-tjxlXMA"" /]"
"[title_desc name=""Avis Bot Creator/Editor for Counter Strike CZ"" desc=""GUI Bot AI Editor!Allows you to create CS Bots (for 1.6-CZ) Easily with a GuI Interface..Also added more helpful tools to increase speed of Mission Pack Development. A Must-Have for every CS Player."" /]",[CSCZ /],[kkratings id =321635],"[prev img=""http://s5.postimg.org/m6izbtqkn/512efcdd0a6f5.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!cNgkWRJJ!wSaC__mKG8VRPLXXUYVBLw"" /]"
"[title_desc name=""Avis Bot Creator/Editor for Counter Strike"" desc=""GUI Bot AI Editor!Allows you to create CS Bots Easily with a Gui Interface..Also added more helpful tools to increase speed of Mission Pack Development. A Must-Have for every CS Player."" /]",[CS /],[kkratings id =321636],"[prev img=""http://s5.postimg.org/cn9aid32f/5130869400fdc.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!lVpADayR!Kejg-5Cncx3DGF9j17WwHA"" /]"
"[title_desc name=""UKTbinder7-2"" desc=""CS 1.6 key binder"" /]",[CS /],[kkratings id =321637],"[prev img=""http://s5.postimg.org/82n43fjd3/50f159f2d5508.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!VFRxiRoL!XxHx-8LkigOecafqCEA2mQ"" /]"
"[title_desc name=""CS_expert for hammer"" desc=""CS_expert  FGD for hammer"" /]",[CS /],[kkratings id =321638],"[prev img=""http://s5.postimg.org/v5dn2lkuf/50dda0ede9a33.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!gRhXEKhS!05Rq3p2UQUk_x58HJ7Il5w"" /]"
"[title_desc name=""CsSv Map Loader"" desc=""This soft is useful for giving server admins o team members the opportunity to upload/download maps from your server without giving them FTP access."" /]",[CS /],[kkratings id =321639],"[prev img=""http://s5.postimg.org/n15ixuyfb/119.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FAYmUASJ!HIef_Xea1GzsFUX4FxQ1AQ"" /]"
"[title_desc name=""Commandmenu Editor"" desc=""Now you can make your custom in game menus, enjoy using your custom scripts with the comfort of a graphical menu. Now its easy, just add/remove/edit menus previewing result immediately!"" /]",[CS /],[kkratings id =321640],"[prev img=""http://s5.postimg.org/ihxvq35xj/5187e8fdf1e9a.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!FVw2jD7A!vCPfITF3ns4WfZR7zHUmhw"" /]"
"[title_desc name=""CS 1.6 Plugin Installer"" desc=""Easy CS 1.6 Plugin Installer (amxx plugins only) by Galih Sitopan"" /]",[CS /],[kkratings id =321641],"[prev img=""http://s5.postimg.org/g1w2c8nuv/5593a66c3be23.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!tcJy1YSa!Zb6z-yeUJXqGF7vxX5q-6w"" /]"
"[title_desc name=""Bot Editor 1.5.1"" desc=""This application create, edit, fixes, and save the database for your Counter-Strike 1.6 or any modification that base on 1.6 version."" /]",[CS /],[kkratings id =321642],"[prev img=""http://s5.postimg.org/jo1vovu87/56fbc1bbd4718.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!1Zp2xD7L!i8GE-HcfIUNjROziGtf6Dw"" /]"
"[title_desc name=""4hud"" desc=""A TF2 Hud editor for Windows"" /]",[TF2 /],[kkratings id =321643],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source],"[mega id=""https://mega.nz/#F!1Zp2xD7L!i8GE-HcfIUNjROziGtf6Dw"" /]"
